法人の名称フリガナ,法人の名称,ホームページアドレス,事業の種類
コウエキシャダンホウジン,公益社団法人日本装削蹄協会,http://sosakutei.jrao.ne.jp/,"勤労意欲のある者に対する就労の支援を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業"
コウエキシャダンホウジンコクサイノウギョウシャコウリュウキョウカイ,公益社団法人国際農業者交流協会,https://www.jaec.org/,"勤労意欲のある者に対する就労の支援を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキザイダンホウジンスポーツヒューマンキャピタル,公益財団法人スポーツヒューマンキャピタル,http://shc-japan.or.jp/,"勤労意欲のある者に対する就労の支援を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキシャダンホウジンニホンケイシュバキョウカイ,公益社団法人日本軽種馬協会,https://jbba.jp/,"勤労意欲のある者に対する就労の支援を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業
一般消費者の利益の擁護又は増進を目的とする事業"
コウエキザイダンホウジンヒロシマケンギョギョウシンコウキキン,公益財団法人広島県漁業振興基金,https://www.hiroshima-kgk.jp/kikin,"勤労意欲のある者に対する就労の支援を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業"
コウエキザイダンホウジンヒョウゴケンキンロウフクシキョウカイ,公益財団法人兵庫県勤労福祉協会,http://www.kinrou-hyogo.jp,"勤労者の福祉の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
イッパンザイダンホウジントナミショウジュカイ,一般財団法人トナミホールディングス松寿会,https://tonami-shoujukai.or.jp/,"勤労者の福祉の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
事故又は災害の防止を目的とする事業"
コウエキザイダンホウジンカワゴエシキンロウシャフクシサービスセンター,公益財団法人川越市勤労者福祉サービスセンター,http://www.wakurahu-kawagoe.or.jp,"勤労者の福祉の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジングンマケンバジコウエン,公益財団法人群馬県馬事公苑,http://gunma-bajikouen.jp,"勤労者の福祉の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業"
コウエキザイダンホウジンヤチヨシチイキシンコウザイダン,公益財団法人八千代市地域振興財団,https://www.ycp.or.jp/,地域社会の健全な発展を目的とする事業
コウエキザイダンホウジンセンダイシコウエンリョクチキョウカイ,公益財団法人仙台市公園緑地協会,http://sendai-green-association.jp/,地球環境の保全又は自然環境の保護及び整備を目的とする事業
コウエキザイダンホウジンミヤガセダムシュウヘンシンコウザイダン,公益財団法人宮ヶ瀬ダム周辺振興財団,https://www.miyagase.or.jp/,"地球環境の保全又は自然環境の保護及び整備を目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジングンマケンケンコウヅクリザイダン,公益財団法人群馬県健康づくり財団,http://www.gunma-hf.jp,思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
コウエキザイダンホウジンサイシンソウベエオウショウガクザイダン,公益財団法人さいしん惣兵衛翁奨学財団,http://saishin-soubee.or.jp,思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
コウエキザイダンホウジンシンブンツウシンチョウサカイ,公益財団法人新聞通信調査会,https://www.chosakai.gr.jp,思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
コウエキザイダンホウジンニホンソンゲンシキョウカイ,公益財団法人日本尊厳死協会,https://songenshi-kyokai.or.jp,思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
コウエキザイダンホウジンニホンワックスマンザイダン,公益財団法人日本ワックスマン財団,https://www.waksman.or.jp/,思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
コウエキザイダンホウジンヒダカショウガクカイ,公益財団法人日高奨学会,https://hidaka-shougakukai.org,思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
コウエキザイダンホウジンミツイスミトモギンコウコクサイキョウリョクザイダン,公益財団法人三井住友銀行国際協力財団,http://www.smbc-foundation.jp/index.html,思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
コウエキシャダンホウジン　ニホンジャーナリストキョウカイ,公益社団法人日本ジャーナリスト協会,https://j-aj.jp/,思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
ゼンコクキョウカイシレンメイ,公益財団法人全国教誨師連盟,https://kyoukaishi.server-shared.com/,思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
コウエキザイダンホウジンシモツケシノウギョウコウシャ,公益財団法人下野市農業公社,http://schit.net/shimotsuke.nougyoukousya/,"思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
国土の利用、整備又は保全を目的とする事業
地域社会の健全な発展を目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業"
コウエキシャダンホウジンマスコミヨロンケンキュウジョ,公益社団法人マスコミ世論研究所,http://homepage3.nifty.com/yoronken/,"思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
国政の健全な運営の確保に資することを目的とする事業"
コウエキシャダンホウジンニッポンキシャクラブ,公益社団法人日本記者クラブ,http://www.jnpc.or.jp/,"思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
国政の健全な運営の確保に資することを目的とする事業
公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業"
イッパンアオモリケンシャコウダンスキョウシキョウカイ,一般社団法人青森県社交ダンス教師協会,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
イッパンザイダンホウジンアキタシキンロウシャフクシシンコウキョウカイ,一般財団法人秋田市勤労者福祉振興協会,https://www.aki-terrsa.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
イッパンザイダンホウジンアマミオオシマキョウイクカイカンイジザイダン,一般財団法人奄美大島教育会館維持財団,http://www5.ocn.ne.jp/~amaiziza/index.html,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
